TIPO,MARCA,MODELO,CC,AÑO,URL GENERAL,Producto,Marca Producto,Referencia,Referencia MEIWA,Referencia HIFLO,URL DEL PRODUCTO
Moto,AJP,AJP PR3 Enduro 125,125,2008,https://www.euromoto85.com/modelo/15060/2008-ajp-pr3-enduro-125,BUJÍA NGK IRIDIUM DR8EIX,NGK,DR8EIX,N/A,N/A,https://www.euromoto85.com/producto/DR8EIX-bujia-ngk-iridium-dr8eix
Moto,AJP,AJP PR3 Enduro 125,125,2008,https://www.euromoto85.com/modelo/15060/2008-ajp-pr3-enduro-125,BUJÍA DENSO IRIDIUM IX24,Denso,IX24,N/A,N/A,https://www.euromoto85.com/producto/IX24-bujia-denso-iridium-ix24
Moto,AJP,AJP PR3 Enduro 125,125,2008,https://www.euromoto85.com/modelo/15060/2008-ajp-pr3-enduro-125,PASTILLA DE FRENO SBS P802-HF,SBS,P802HF,N/A,N/A,https://www.euromoto85.com/producto/P802HF-pastilla-freno-sbs-p802-hf
Moto,AJP,AJP PR3 Enduro 125,125,2008,https://www.euromoto85.com/modelo/15060/2008-ajp-pr3-enduro-125,PASTILLA DE FRENO SBS P802-RSI,SBS,P802RSI,N/A,N/A,https://www.euromoto85.com/producto/P802RSI-pastilla-freno-sbs-p802-rsi
Moto,AJP,AJP PR3 Enduro 125,125,2009,https://www.euromoto85.com/modelo/15060/2009-ajp-pr3-enduro-125,BUJÍA NGK IRIDIUM DR8EIX,NGK,DR8EIX,N/A,N/A,https://www.euromoto85.com/producto/DR8EIX-bujia-ngk-iridium-dr8eix
Moto,AJP,AJP PR3 Enduro 125,125,2009,https://www.euromoto85.com/modelo/15060/2009-ajp-pr3-enduro-125,BUJÍA DENSO IRIDIUM IX24,Denso,IX24,N/A,N/A,https://www.euromoto85.com/producto/IX24-bujia-denso-iridium-ix24
Moto,AJP,AJP PR3 Enduro 125,125,2009,https://www.euromoto85.com/modelo/15060/2009-ajp-pr3-enduro-125,PASTILLA DE FRENO SBS P802-HF,SBS,P802HF,N/A,N/A,https://www.euromoto85.com/producto/P802HF-pastilla-freno-sbs-p802-hf
Moto,AJP,AJP PR3 Enduro 125,125,2009,https://www.euromoto85.com/modelo/15060/2009-ajp-pr3-enduro-125,PASTILLA DE FRENO SBS P802-RSI,SBS,P802RSI,N/A,N/A,https://www.euromoto85.com/producto/P802RSI-pastilla-freno-sbs-p802-rsi
Moto,AJP,AJP PR3 Enduro 125,125,2010,https://www.euromoto85.com/modelo/15060/2010-ajp-pr3-enduro-125,BUJÍA NGK IRIDIUM DR8EIX,NGK,DR8EIX,N/A,N/A,https://www.euromoto85.com/producto/DR8EIX-bujia-ngk-iridium-dr8eix
Moto,AJP,AJP PR3 Enduro 125,125,2010,https://www.euromoto85.com/modelo/15060/2010-ajp-pr3-enduro-125,BUJÍA DENSO IRIDIUM IX24,Denso,IX24,N/A,N/A,https://www.euromoto85.com/producto/IX24-bujia-denso-iridium-ix24
